antiguedad,caja_cambios,descripcion,marca_modelo,millas,motor,precio_libra
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","20,226 miles",Petrol,"£25,450"
2016 reg,Automatic,2L M Sport 20d,"BMW, ,X3","44,263 miles",Diesel,"£21,300"
2019 reg,Automatic,2L xLine 20i,"BMW, ,X1","41,461 miles",Petrol,"£21,300"
2018 reg,Automatic,2L xLine 20i,"BMW, ,X1","19,437 miles",Petrol,"£21,300"
2017 reg,Automatic,21.6kWh,"BMW, ,i3","20,563 miles",Electric,"£21,350"
2019 reg,Manual,2L M Sport 18d,"BMW, ,X2","27,300 miles",Diesel,"£21,350"
2018 reg,Automatic,2L M Sport 20i,"BMW, ,X1","25,045 miles",Petrol,"£21,350"
2018 reg,Automatic,2L Sport 18d,"BMW, ,X2","15,504 miles",Diesel,"£21,350"
2017 reg,Manual,3L M240i,"BMW, ,2 Series","23,618 miles",Petrol,"£21,400"
2017 reg,Automatic,3L M140i,"BMW, ,1 Series","36,000 miles",Petrol,"£21,400"
2019 reg,Automatic,2L Sport 20d,"BMW, ,X1","26,073 miles",Diesel,"£21,400"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X1","38,539 miles",Petrol,"£21,400"
2018 reg,Automatic,2L SE 520d,"BMW, ,5 Series","44,980 miles",Diesel,"£21,400"
2019 reg,Automatic,2L M Sport Shadow Edition 120i,"BMW, ,1 Series","32,248 miles",Petrol,"£21,450"
2018 reg,Automatic,2L xLine 20i,"BMW, ,X1","20,080 miles",Petrol,"£21,450"
2019 reg,Automatic,2L xLine 20i,"BMW, ,X1","21,028 miles",Petrol,"£21,500"
2019 reg,Automatic,1.5L M Sport 218i,"BMW, ,2 Series","22,622 miles",Petrol,"£21,550"
2018 reg,Automatic,2L xLine 20d,"BMW, ,X1","34,201 miles",Diesel,"£21,550"
2017 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","50,867 miles",Petrol,"£21,550"
2019 reg,Automatic,2L xLine 20i,"BMW, ,X1","38,545 miles",Petrol,"£21,600"
2019 reg,Automatic,1.5L SE 18i,"BMW, ,X1","20,587 miles",Petrol,"£21,600"
2019 reg,Automatic,2L M Sport 220d,"BMW, ,2 Series","30,008 miles",Diesel,"£21,650"
2020 reg,Manual,2L M Sport 420i,"BMW, ,4 Series Gran Coupe","15,167 miles",Petrol,"£21,700"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X1","39,842 miles",Petrol,"£21,750"
2019 reg,Automatic,2L M Sport X 20d,"BMW, ,X2","49,590 miles",Diesel,"£21,800"
2020 reg,Automatic,1.5L M Sport 18i,"BMW, ,X2","64,021 miles",Petrol,"£21,850"
2017 reg,Automatic,2L M Sport 330e,"BMW, ,3 Series","30,151 miles",Plug-in hybrid,"£21,850"
2017 reg,Automatic,3L M240i,"BMW, ,2 Series","51,300 miles",Petrol,"£21,900"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X1","27,992 miles",Petrol,"£21,900"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","62,486 miles",Petrol,"£21,900"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","65,793 miles",Plug-in hybrid,"£21,950"
